2020 Score,2022 Score,2023 Score,2024 Score,2025 Score
4.206363636363636,4.226857142857143,4.12375,4.8524242424242425,4.936764705882353
4.540793650793651,4.372539682539683,4.226451612903226,5.200677966101694,4.910677966101695
4.277747747747748,4.161272727272728,4.421733333333333,4.962285714285714,4.798952380952381
4.333659793814433,4.294278606965174,4.215454545454545,4.977213930348259,4.840511627906977
4.202192513368984,4.201358695652174,4.3230864197530865,4.85016393442623,4.760824175824176
4.368119266055046,4.374700854700855,4.304285714285714,5.104092827004219,4.864083333333334
4.157432432432432,4.226351351351352,4.320138888888889,4.866666666666666,4.702763157894737
4.26076923076923,4.311794871794872,4.162692307692308,4.865813953488372,4.7372093023255815
4.272,4.285229357798165,4.192115384615385,4.948349514563107,4.826923076923077
4.134838709677419,4.029032258064516,4.224375,4.388518518518518,4.3
