County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
Anson,2025,NHWhite,Female,Population Age 80-84,233,Projection,2024,37007
Beaufort,2025,NHWhite,Female,Population Age 75-79,1100,Projection,2024,37013
Ashe,2025,NHWhite,Female,Population Age 75-79,946,Projection,2024,37009
Alexander,2025,NHOther,Male,Population Age 75-79,41,Projection,2024,37003
Martin,2025,Hispanic,Male,Population Age 80-84,4,Projection,2024,37117
Durham,2025,Hispanic,Female,Population Age 75-79,242,Projection,2024,37063
Camden,2025,NHOther,Male,Population Age 70-74,59,Projection,2024,37029
Hyde,2025,NHOther,Female,Population Age 80-84,26,Projection,2024,37095
Hertford,2025,NHWhite,Male,Population Age 80-84,91,Projection,2024,37091
Alexander,2025,NHWhite,Male,Population Age 65-69,1026,Projection,2024,37003
Alexander,2025,NHWhite,Male,Population Age 80-84,367,Projection,2024,37003
Lincoln,2025,NHWhite,Male,Population Age 70-74,2270,Projection,2024,37109
Alleghany,2025,NHOther,Female,Population Age 65-69,17,Projection,2024,37005
Jones,2025,NHOther,Female,Population Age 65-69,170,Projection,2024,37103
Macon,2025,NHWhite,Female,Population Age 70-74,1691,Projection,2024,37113
Alamance,2025,Hispanic,Female,Population Age 65-69,337,Projection,2024,37001
Alleghany,2025,Hispanic,Male,Population Age 65-69,27,Projection,2024,37005
Alleghany,2025,NHOther,Male,Population Age 65-69,13,Projection,2024,37005
Johnston,2025,NHWhite,Female,Population Age 75-79,3358,Projection,2024,37101
New Hanover,2025,Hispanic,Female,Population Age 75-79,123,Projection,2024,37129
New Hanover,2025,NHOther,Male,Population Age 65-69,1214,Projection,2024,37129
Davidson,2025,Hispanic,Male,Population Age 65-69,199,Projection,2024,37057
Clay,2025,NHWhite,Female,Population Age 80-84,290,Projection,2024,37043
Mecklenburg,2025,Hispanic,Male,Population Age 80-84,326,Projection,2024,37119
Cleveland,2025,NHWhite,Female,Population Age 70-74,2156,Projection,2024,37045
Cleveland,2025,NHWhite,Male,Population Age 65-69,2192,Projection,2024,37045
Cleveland,2025,Hispanic,Male,Population Age 65-69,44,Projection,2024,37045
Northampton,2025,NHOther,Male,Population Age 80-84,102,Projection,2024,37131
Hoke,2025,NHOther,Female,Population Age 75-79,432,Projection,2024,37093
Hoke,2025,NHOther,Female,Population Age 65-69,854,Projection,2024,37093
Mitchell,2025,NHWhite,Male,Population Age 70-74,453,Projection,2024,37121
Mitchell,2025,NHOther,Male,Population Age 80-84,9,Projection,2024,37121
Anson,2025,NHOther,Female,Population Age 65-69,316,Projection,2024,37007
Cumberland,2025,NHWhite,Female,Population Age 75-79,2435,Projection,2024,37051
Hyde,2025,NHWhite,Male,Population Age 65-69,142,Projection,2024,37095
Polk,2025,NHOther,Female,Population Age 75-79,46,Projection,2024,37149
