County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
Alleghany,2023,NHWhite,Female,Population Age 50-54,332,Estimate,2023,37005
Alamance,2023,Hispanic,Female,Population Age 05-09,1206,Estimate,2023,37001
Alamance,2023,Hispanic,Male,Population Age 40-44,977,Estimate,2023,37001
Alamance,2023,NHOther,Female,Population Age 00-04,1347,Estimate,2023,37001
Anson,2023,NHWhite,Female,Population Age 80-84,224,Estimate,2023,37007
Anson,2023,Hispanic,Male,Population Age 05-09,52,Estimate,2023,37007
Anson,2023,NHOther,Male,Population Age 40-44,414,Estimate,2023,37007
Alexander,2023,Hispanic,Female,Population Age 25-29,79,Estimate,2023,37003
Alexander,2023,NHOther,Male,Population Age 15-19,83,Estimate,2023,37003
Avery,2023,NHWhite,Female,Population Age 35-39,414,Estimate,2023,37011
Alleghany,2023,NHWhite,Male,Population Age 40-44,270,Estimate,2023,37005
Alleghany,2023,NHWhite,Male,Population Age 75-79,283,Estimate,2023,37005
Alleghany,2023,Hispanic,Female,Population Age 10-14,77,Estimate,2023,37005
Alleghany,2023,NHOther,Male,Population Age 30-34,47,Estimate,2023,37005
Alleghany,2023,NHWhite,Female,Population Age 70-74,438,Estimate,2023,37005
Alleghany,2023,Hispanic,Male,Population Age 55-59,42,Estimate,2023,37005
Anson,2023,NHWhite,Male,Population Age 75-79,271,Estimate,2023,37007
Ashe,2023,NHWhite,Male,Population Age 60-64,977,Estimate,2023,37009
Ashe,2023,NHOther,Female,Population Age 10-14,8,Estimate,2023,37009
Ashe,2023,NHOther,Male,Population Age 30-34,50,Estimate,2023,37009
Anson,2023,NHWhite,Male,Population Age 45-49,423,Estimate,2023,37007
Anson,2023,NHWhite,Male,Population Age 60-64,412,Estimate,2023,37007
Anson,2023,NHWhite,Male,Population Age 85+,100,Estimate,2023,37007
Anson,2023,Hispanic,Male,Population Age 75-79,2,Estimate,2023,37007
Anson,2023,NHOther,Female,Population Age 05-09,242,Estimate,2023,37007
Ashe,2023,NHWhite,Female,Population Age 60-64,1124,Estimate,2023,37009
Ashe,2023,NHOther,Female,Population Age 65-69,36,Estimate,2023,37009
Ashe,2023,Hispanic,Female,Population Age 10-14,91,Estimate,2023,37009
Anson,2023,Hispanic,Male,Population Age 00-04,29,Estimate,2023,37007
Alamance,2023,NHOther,Female,Population Age 65-69,1387,Estimate,2023,37001
Harnett,2023,NHWhite,Male,Population Age 55-59,2399,Estimate,2023,37085
Moore,2023,NHWhite,Male,Population Age 60-64,2589,Estimate,2023,37125
Franklin,2023,NHOther,Male,Population Age 15-19,796,Estimate,2023,37069
Alamance,2023,NHWhite,Male,Population Age 50-54,3378,Estimate,2023,37001
Alamance,2023,Hispanic,Female,Population Age 10-14,1417,Estimate,2023,37001
Alamance,2023,NHOther,Female,Population Age 50-54,1779,Estimate,2023,37001
Alamance,2023,NHOther,Female,Population Age 70-74,1065,Estimate,2023,37001
Martin,2023,Hispanic,Male,Population Age 65-69,13,Estimate,2023,37117
Harnett,2023,Hispanic,Female,Population Age 10-14,1060,Estimate,2023,37085
Franklin,2023,NHWhite,Male,Population Age 55-59,1840,Estimate,2023,37069
McDowell,2023,NHOther,Male,Population Age 80-84,22,Estimate,2023,37111
Montgomery,2023,NHWhite,Female,Population Age 20-24,392,Estimate,2023,37123
Montgomery,2023,NHWhite,Male,Population Age 10-14,351,Estimate,2023,37123
Montgomery,2023,Hispanic,Female,Population Age 40-44,96,Estimate,2023,37123
Montgomery,2023,NHOther,Male,Population Age 25-29,172,Estimate,2023,37123
Hoke,2023,NHWhite,Female,Population Age 50-54,521,Estimate,2023,37093
Moore,2023,NHWhite,Male,Population Age 05-09,2489,Estimate,2023,37125
Lee,2023,NHWhite,Female,Population Age 00-04,832,Estimate,2023,37105
Lee,2023,Hispanic,Male,Population Age 35-39,415,Estimate,2023,37105
Alexander,2023,NHWhite,Male,Population Age 35-39,755,Estimate,2023,37003
Alexander,2023,NHOther,Female,Population Age 05-09,24,Estimate,2023,37003
Alleghany,2023,Hispanic,Female,Population Age 85+,1,Estimate,2023,37005
Martin,2023,NHWhite,Female,Population Age 15-19,271,Estimate,2023,37117
Martin,2023,NHWhite,Female,Population Age 85+,217,Estimate,2023,37117
Martin,2023,Hispanic,Female,Population Age 30-34,17,Estimate,2023,37117
Martin,2023,Hispanic,Female,Population Age 65-69,8,Estimate,2023,37117
McDowell,2023,NHWhite,Female,Population Age 35-39,922,Estimate,2023,37111
McDowell,2023,NHWhite,Female,Population Age 80-84,587,Estimate,2023,37111
McDowell,2023,NHWhite,Male,Population Age 40-44,1136,Estimate,2023,37111
Durham,2023,NHWhite,Male,Population Age 70-74,3502,Estimate,2023,37063
Durham,2023,NHOther,Female,Population Age 70-74,3453,Estimate,2023,37063
Camden,2023,Hispanic,Male,Population Age 00-04,15,Estimate,2023,37029
Camden,2023,NHOther,Male,Population Age 75-79,47,Estimate,2023,37029
Mitchell,2023,NHWhite,Female,Population Age 15-19,379,Estimate,2023,37121
Duplin,2023,Hispanic,Female,Population Age 85+,16,Estimate,2023,37061
Duplin,2023,NHOther,Female,Population Age 65-69,623,Estimate,2023,37061
Montgomery,2023,Hispanic,Female,Population Age 65-69,24,Estimate,2023,37123
Montgomery,2023,Hispanic,Female,Population Age 85+,3,Estimate,2023,37123
Moore,2023,Hispanic,Male,Population Age 45-49,245,Estimate,2023,37125
Hoke,2023,NHWhite,Male,Population Age 85+,78,Estimate,2023,37093
Hoke,2023,NHOther,Female,Population Age 35-39,1062,Estimate,2023,37093
Hyde,2023,NHWhite,Male,Population Age 40-44,107,Estimate,2023,37095
Hyde,2023,NHOther,Female,Population Age 35-39,8,Estimate,2023,37095
Buncombe,2023,Hispanic,Female,Population Age 35-39,743,Estimate,2023,37021
Buncombe,2023,Hispanic,Male,Population Age 05-09,1115,Estimate,2023,37021
Duplin,2023,NHOther,Female,Population Age 60-64,551,Estimate,2023,37061
Duplin,2023,NHOther,Male,Population Age 70-74,301,Estimate,2023,37061
Duplin,2023,NHOther,Male,Population Age 80-84,99,Estimate,2023,37061
Hertford,2023,NHWhite,Female,Population Age 65-69,241,Estimate,2023,37091
Alamance,2023,Hispanic,Male,Population Age 85+,18,Estimate,2023,37001
