CMS Certification Number (CCN),Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
NATION,I_006_01_NATL_SIR,1.047,-,7/1/2022,6/30/2023,-
NATION,I_008_02_NATL_OBS_RATE,99.9,-,10/1/2022,9/30/2023,-
NATION,I_009_05_NATL_OBS_RATE,13.6,-,10/1/2022,9/30/2023,-
NATION,I_010_05_NATL_OBS_RATE,33.2,-,10/1/2022,9/30/2023,-
NATION,I_011_05_NATL_OBS_RATE,63,-,10/1/2022,9/30/2023,-
NATION,I_012_05_NATL_OBS_RATE,61.8,-,10/1/2022,9/30/2023,-
NATION,I_013_01_NATL_OBS_RATE,0.2,-,10/1/2022,9/30/2023,-
NATION,I_015_01_NATL_SIR,0.414,-,7/1/2022,6/30/2023,-
NATION,I_016_01_NATL_OBS_RATE,78.2,-,10/1/2022,3/31/2023,-
NATION,I_017_01_PPR_PD_NATL_OBS_RATE,8.65,-,10/1/2020,9/30/2022,-
NATION,I_017_01_PPR_PD_N_BETTER_NATL,14,-,10/1/2020,9/30/2022,-
NATION,I_017_01_PPR_PD_N_NO_DIFF_NATL,"1,073",-,10/1/2020,9/30/2022,-
NATION,I_017_01_PPR_PD_N_TOO_SMALL,21,-,10/1/2020,9/30/2022,-
NATION,I_017_01_PPR_PD_N_WORSE_NATL,47,-,10/1/2020,9/30/2022,-
NATION,I_018_01_PPR_WI_NATL_OBS_RATE,4.89,-,10/1/2020,9/30/2022,-
NATION,I_018_01_PPR_WI_N_BETTER_NATL,33,-,10/1/2020,9/30/2022,-
NATION,I_018_01_PPR_WI_N_NO_DIFF_NATL,"1,016",-,10/1/2020,9/30/2022,-
NATION,I_018_01_PPR_WI_N_TOO_SMALL,22,-,10/1/2020,9/30/2022,-
NATION,I_018_01_PPR_WI_N_WORSE_NATL,85,-,10/1/2020,9/30/2022,-
NATION,I_019_02_DTC_NATL_OBS_RATE,66.93,-,10/1/2020,9/30/2022,-
NATION,I_019_02_DTC_N_BETTER_NATL,210,-,10/1/2020,9/30/2022,-
NATION,I_019_02_DTC_N_NO_DIFF_NATL,737,-,10/1/2020,9/30/2022,-
NATION,I_019_02_DTC_N_TOO_SMALL,21,-,10/1/2020,9/30/2022,-
NATION,I_019_02_DTC_N_WORSE_NATL,180,-,10/1/2020,9/30/2022,-
NATION,I_020_01_NATL_MSPB_SCORE,1,-,10/1/2020,9/30/2022,-
NATION,I_021_01_NATL_OBS_RATE,97.6,-,10/1/2022,9/30/2023,-
NATION,I_022_01_NATL_OBS_RATE,1.1,-,10/1/2022,9/30/2023,-
NATION,I_023_01_NATL_OBS_RATE,87.1,-,7/1/2023,9/30/2023,-
