County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
Anson,2023,NHWhite,Female,Population Age 80-84,224,Estimate,2023,37007
Alleghany,2023,NHWhite,Male,Population Age 75-79,283,Estimate,2023,37005
Alleghany,2023,NHWhite,Female,Population Age 70-74,438,Estimate,2023,37005
Anson,2023,NHWhite,Male,Population Age 75-79,271,Estimate,2023,37007
Anson,2023,Hispanic,Male,Population Age 75-79,2,Estimate,2023,37007
Ashe,2023,NHOther,Female,Population Age 65-69,36,Estimate,2023,37009
Alamance,2023,NHOther,Female,Population Age 65-69,1387,Estimate,2023,37001
Alamance,2023,NHOther,Female,Population Age 70-74,1065,Estimate,2023,37001
Martin,2023,Hispanic,Male,Population Age 65-69,13,Estimate,2023,37117
McDowell,2023,NHOther,Male,Population Age 80-84,22,Estimate,2023,37111
Martin,2023,Hispanic,Female,Population Age 65-69,8,Estimate,2023,37117
McDowell,2023,NHWhite,Female,Population Age 80-84,587,Estimate,2023,37111
Durham,2023,NHWhite,Male,Population Age 70-74,3502,Estimate,2023,37063
Durham,2023,NHOther,Female,Population Age 70-74,3453,Estimate,2023,37063
Camden,2023,NHOther,Male,Population Age 75-79,47,Estimate,2023,37029
Duplin,2023,NHOther,Female,Population Age 65-69,623,Estimate,2023,37061
Montgomery,2023,Hispanic,Female,Population Age 65-69,24,Estimate,2023,37123
Duplin,2023,NHOther,Male,Population Age 70-74,301,Estimate,2023,37061
Duplin,2023,NHOther,Male,Population Age 80-84,99,Estimate,2023,37061
Hertford,2023,NHWhite,Female,Population Age 65-69,241,Estimate,2023,37091
Durham,2023,Hispanic,Male,Population Age 65-69,462,Estimate,2023,37063
Martin,2023,NHWhite,Female,Population Age 65-69,486,Estimate,2023,37117
Johnston,2023,Hispanic,Male,Population Age 80-84,53,Estimate,2023,37101
Cumberland,2023,NHWhite,Female,Population Age 80-84,1634,Estimate,2023,37051
Lincoln,2023,NHWhite,Female,Population Age 65-69,2916,Estimate,2023,37109
Macon,2023,Hispanic,Female,Population Age 70-74,23,Estimate,2023,37113
Henderson,2023,Hispanic,Female,Population Age 75-79,86,Estimate,2023,37089
Alleghany,2023,Hispanic,Female,Population Age 80-84,4,Estimate,2023,37005
Graham,2023,Hispanic,Female,Population Age 70-74,2,Estimate,2023,37075
Mitchell,2023,NHOther,Female,Population Age 80-84,11,Estimate,2023,37121
Haywood,2023,Hispanic,Female,Population Age 75-79,12,Estimate,2023,37087
Davie,2023,NHWhite,Male,Population Age 65-69,1258,Estimate,2023,37059
Moore,2023,NHOther,Female,Population Age 75-79,384,Estimate,2023,37125
Gates,2023,NHWhite,Female,Population Age 80-84,99,Estimate,2023,37073
Johnston,2023,NHWhite,Female,Population Age 75-79,3008,Estimate,2023,37101
Northampton,2023,NHOther,Female,Population Age 80-84,191,Estimate,2023,37131
Alamance,2023,NHOther,Male,Population Age 80-84,242,Estimate,2023,37001
Buncombe,2023,NHOther,Female,Population Age 65-69,996,Estimate,2023,37021
Guilford,2023,NHOther,Female,Population Age 80-84,1846,Estimate,2023,37081
Guilford,2023,NHOther,Male,Population Age 70-74,3135,Estimate,2023,37081
Camden,2023,Hispanic,Female,Population Age 75-79,1,Estimate,2023,37029
Jones,2023,NHWhite,Female,Population Age 75-79,150,Estimate,2023,37103
Gates,2023,Hispanic,Male,Population Age 75-79,2,Estimate,2023,37073
Carteret,2023,NHOther,Male,Population Age 70-74,212,Estimate,2023,37031
Iredell,2023,Hispanic,Female,Population Age 75-79,108,Estimate,2023,37097
Duplin,2023,Hispanic,Female,Population Age 65-69,135,Estimate,2023,37061
Buncombe,2023,Hispanic,Male,Population Age 75-79,69,Estimate,2023,37021
Anson,2023,Hispanic,Male,Population Age 80-84,1,Estimate,2023,37007
Burke,2023,NHOther,Male,Population Age 80-84,69,Estimate,2023,37023
Clay,2023,NHWhite,Female,Population Age 80-84,261,Estimate,2023,37043
Clay,2023,Hispanic,Female,Population Age 65-69,5,Estimate,2023,37043
Johnston,2023,NHOther,Female,Population Age 65-69,1371,Estimate,2023,37101
Columbus,2023,Hispanic,Male,Population Age 65-69,24,Estimate,2023,37047
Carteret,2023,Hispanic,Male,Population Age 80-84,11,Estimate,2023,37031
Perquimans,2023,Hispanic,Male,Population Age 70-74,2,Estimate,2023,37143
Person,2023,Hispanic,Male,Population Age 80-84,9,Estimate,2023,37145
Bertie,2023,NHOther,Male,Population Age 65-69,395,Estimate,2023,37015
Cumberland,2023,NHOther,Male,Population Age 80-84,899,Estimate,2023,37051
Graham,2023,NHWhite,Female,Population Age 65-69,294,Estimate,2023,37075
Graham,2023,NHWhite,Female,Population Age 80-84,135,Estimate,2023,37075
McDowell,2023,Hispanic,Female,Population Age 70-74,27,Estimate,2023,37111
McDowell,2023,NHOther,Female,Population Age 75-79,84,Estimate,2023,37111
Bladen,2023,NHWhite,Female,Population Age 65-69,710,Estimate,2023,37017
Beaufort,2023,NHWhite,Female,Population Age 75-79,1044,Estimate,2023,37013
Graham,2023,NHWhite,Male,Population Age 80-84,131,Estimate,2023,37075
Duplin,2023,Hispanic,Female,Population Age 75-79,27,Estimate,2023,37061
Craven,2023,NHOther,Female,Population Age 80-84,383,Estimate,2023,37049
Buncombe,2023,NHWhite,Female,Population Age 80-84,3611,Estimate,2023,37021
Dare,2023,NHWhite,Female,Population Age 65-69,1892,Estimate,2023,37055
Graham,2023,Hispanic,Male,Population Age 70-74,1,Estimate,2023,37075
Tyrrell,2023,NHOther,Male,Population Age 75-79,23,Estimate,2023,37177
Rockingham,2023,NHWhite,Male,Population Age 65-69,2308,Estimate,2023,37157
Johnston,2023,NHOther,Female,Population Age 75-79,608,Estimate,2023,37101
Johnston,2023,NHOther,Male,Population Age 75-79,503,Estimate,2023,37101
Martin,2023,NHOther,Female,Population Age 65-69,495,Estimate,2023,37117
Graham,2023,Hispanic,Male,Population Age 65-69,3,Estimate,2023,37075
Anson,2023,NHWhite,Male,Population Age 80-84,132,Estimate,2023,37007
Anson,2023,NHOther,Female,Population Age 80-84,126,Estimate,2023,37007
Lincoln,2023,NHOther,Male,Population Age 70-74,174,Estimate,2023,37109
Henderson,2023,NHOther,Male,Population Age 65-69,241,Estimate,2023,37089
Beaufort,2023,Hispanic,Male,Population Age 75-79,17,Estimate,2023,37013
Moore,2023,NHWhite,Female,Population Age 65-69,3364,Estimate,2023,37125
Avery,2023,NHWhite,Male,Population Age 70-74,563,Estimate,2023,37011
Avery,2023,NHOther,Female,Population Age 80-84,2,Estimate,2023,37011
Davidson,2023,NHWhite,Male,Population Age 75-79,2717,Estimate,2023,37057
Cleveland,2023,NHWhite,Female,Population Age 70-74,2170,Estimate,2023,37045
Cleveland,2023,NHOther,Male,Population Age 65-69,672,Estimate,2023,37045
Mitchell,2023,NHOther,Female,Population Age 65-69,24,Estimate,2023,37121
Craven,2023,NHWhite,Female,Population Age 75-79,2188,Estimate,2023,37049
Iredell,2023,NHOther,Female,Population Age 70-74,679,Estimate,2023,37097
Cumberland,2023,Hispanic,Male,Population Age 70-74,331,Estimate,2023,37051
Cumberland,2023,NHOther,Male,Population Age 70-74,2420,Estimate,2023,37051
Avery,2023,Hispanic,Male,Population Age 70-74,5,Estimate,2023,37011
Harnett,2023,NHWhite,Female,Population Age 75-79,1548,Estimate,2023,37085
Currituck,2023,Hispanic,Female,Population Age 65-69,15,Estimate,2023,37053
Pamlico,2023,NHOther,Male,Population Age 65-69,78,Estimate,2023,37137
Hoke,2023,NHOther,Male,Population Age 75-79,229,Estimate,2023,37093
Hyde,2023,Hispanic,Male,Population Age 75-79,1,Estimate,2023,37095
Alamance,2023,NHWhite,Male,Population Age 75-79,2021,Estimate,2023,37001
Davidson,2023,Hispanic,Female,Population Age 65-69,147,Estimate,2023,37057
Hoke,2023,NHOther,Female,Population Age 70-74,624,Estimate,2023,37093
Davie,2023,Hispanic,Female,Population Age 70-74,20,Estimate,2023,37059
Mitchell,2023,NHOther,Female,Population Age 75-79,5,Estimate,2023,37121
Watauga,2023,NHWhite,Male,Population Age 65-69,1391,Estimate,2023,37189
Dare,2023,NHOther,Female,Population Age 80-84,16,Estimate,2023,37055
Macon,2023,NHWhite,Male,Population Age 65-69,1378,Estimate,2023,37113
Jones,2023,NHWhite,Male,Population Age 75-79,143,Estimate,2023,37103
Gaston,2023,NHWhite,Female,Population Age 80-84,2203,Estimate,2023,37071
Granville,2023,NHWhite,Female,Population Age 75-79,634,Estimate,2023,37077
Granville,2023,Hispanic,Female,Population Age 70-74,25,Estimate,2023,37077
Madison,2023,Hispanic,Male,Population Age 70-74,9,Estimate,2023,37115
Randolph,2023,Hispanic,Female,Population Age 80-84,29,Estimate,2023,37151
Craven,2023,Hispanic,Female,Population Age 70-74,48,Estimate,2023,37049
Alexander,2023,NHWhite,Female,Population Age 75-79,822,Estimate,2023,37003
Mitchell,2023,NHWhite,Female,Population Age 65-69,590,Estimate,2023,37121
Alamance,2023,NHWhite,Male,Population Age 80-84,1255,Estimate,2023,37001
Alexander,2023,NHWhite,Male,Population Age 65-69,988,Estimate,2023,37003
Alexander,2023,NHOther,Male,Population Age 70-74,45,Estimate,2023,37003
Greene,2023,Hispanic,Female,Population Age 70-74,10,Estimate,2023,37079
Greene,2023,Hispanic,Female,Population Age 80-84,3,Estimate,2023,37079
Bladen,2023,Hispanic,Male,Population Age 75-79,7,Estimate,2023,37017
Hyde,2023,Hispanic,Female,Population Age 65-69,3,Estimate,2023,37095
Hyde,2023,Hispanic,Female,Population Age 75-79,1,Estimate,2023,37095
Hyde,2023,NHOther,Male,Population Age 75-79,21,Estimate,2023,37095
Carteret,2023,NHOther,Male,Population Age 75-79,121,Estimate,2023,37031
Bladen,2023,NHOther,Female,Population Age 75-79,267,Estimate,2023,37017
Lincoln,2023,Hispanic,Female,Population Age 75-79,41,Estimate,2023,37109
Lincoln,2023,Hispanic,Male,Population Age 75-79,58,Estimate,2023,37109
Franklin,2023,NHWhite,Male,Population Age 75-79,849,Estimate,2023,37069
Macon,2023,Hispanic,Female,Population Age 80-84,9,Estimate,2023,37113
Macon,2023,NHWhite,Male,Population Age 70-74,1378,Estimate,2023,37113
Gates,2023,NHOther,Female,Population Age 70-74,155,Estimate,2023,37073
Martin,2023,NHWhite,Female,Population Age 70-74,413,Estimate,2023,37117
Harnett,2023,Hispanic,Male,Population Age 70-74,130,Estimate,2023,37085
Moore,2023,NHOther,Female,Population Age 65-69,677,Estimate,2023,37125
Tyrrell,2023,NHWhite,Male,Population Age 80-84,27,Estimate,2023,37177
Nash,2023,NHOther,Male,Population Age 70-74,793,Estimate,2023,37127
Gates,2023,NHWhite,Male,Population Age 80-84,79,Estimate,2023,37073
Gates,2023,Hispanic,Female,Population Age 70-74,2,Estimate,2023,37073
Martin,2023,NHOther,Male,Population Age 80-84,101,Estimate,2023,37117
Polk,2023,NHOther,Male,Population Age 65-69,35,Estimate,2023,37149
Henderson,2023,NHWhite,Female,Population Age 75-79,3641,Estimate,2023,37089
Cabarrus,2023,NHOther,Male,Population Age 75-79,394,Estimate,2023,37025
Avery,2023,NHOther,Female,Population Age 70-74,13,Estimate,2023,37011
Currituck,2023,NHOther,Female,Population Age 70-74,98,Estimate,2023,37053
Pamlico,2023,NHWhite,Female,Population Age 80-84,211,Estimate,2023,37137
Montgomery,2023,NHWhite,Female,Population Age 65-69,740,Estimate,2023,37123
