County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
Alamance,2024,NHWhite,Female,Population Age 30-34,3305,Projection,2024,37001
Alamance,2024,NHWhite,Male,Population Age 10-14,2617,Projection,2024,37001
Alamance,2024,NHWhite,Male,Population Age 60-64,3619,Projection,2024,37001
Alamance,2024,NHWhite,Male,Population Age 65-69,3277,Projection,2024,37001
Alamance,2024,Hispanic,Male,Population Age 70-74,166,Projection,2024,37001
Alamance,2024,NHWhite,Male,Population Age 40-44,2571,Projection,2024,37001
Alamance,2024,Hispanic,Female,Population Age 20-24,1521,Projection,2024,37001
Alamance,2024,NHOther,Male,Population Age 40-44,1297,Projection,2024,37001
Alamance,2024,NHOther,Male,Population Age 15-19,1616,Projection,2024,37001
Alleghany,2024,NHOther,Male,Population Age 25-29,15,Projection,2024,37005
Anson,2024,Hispanic,Male,Population Age 35-39,39,Projection,2024,37007
Alexander,2024,NHOther,Female,Population Age 70-74,113,Projection,2024,37003
Alexander,2024,NHOther,Male,Population Age 20-24,153,Projection,2024,37003
Alexander,2024,NHWhite,Male,Population Age 45-49,906,Projection,2024,37003
Alexander,2024,NHWhite,Male,Population Age 55-59,1099,Projection,2024,37003
Alexander,2024,Hispanic,Female,Population Age 40-44,65,Projection,2024,37003
Avery,2024,NHWhite,Male,Population Age 80-84,249,Projection,2024,37011
Avery,2024,Hispanic,Female,Population Age 85+,1,Projection,2024,37011
Beaufort,2024,NHWhite,Female,Population Age 85+,478,Projection,2024,37013
Alleghany,2024,NHWhite,Female,Population Age 10-14,200,Projection,2024,37005
Alleghany,2024,NHWhite,Male,Population Age 45-49,258,Projection,2024,37005
Alleghany,2024,NHOther,Male,Population Age 70-74,17,Projection,2024,37005
Anson,2024,NHWhite,Female,Population Age 70-74,303,Projection,2024,37007
Anson,2024,NHOther,Male,Population Age 10-14,342,Projection,2024,37007
Ashe,2024,Hispanic,Male,Population Age 15-19,55,Projection,2024,37009
Anson,2024,Hispanic,Female,Population Age 75-79,1,Projection,2024,37007
Anson,2024,Hispanic,Male,Population Age 75-79,2,Projection,2024,37007
Anson,2024,NHOther,Male,Population Age 05-09,284,Projection,2024,37007
Ashe,2024,NHWhite,Male,Population Age 40-44,672,Projection,2024,37009
Ashe,2024,Hispanic,Female,Population Age 25-29,57,Projection,2024,37009
Ashe,2024,NHWhite,Male,Population Age 85+,301,Projection,2024,37009
Anson,2024,NHWhite,Male,Population Age 60-64,415,Projection,2024,37007
Ashe,2024,NHWhite,Male,Population Age 10-14,614,Projection,2024,37009
Moore,2024,Hispanic,Female,Population Age 30-34,292,Projection,2024,37125
Alexander,2024,NHOther,Female,Population Age 00-04,91,Projection,2024,37003
Alamance,2024,NHWhite,Female,Population Age 60-64,4388,Projection,2024,37001
Alamance,2024,NHOther,Male,Population Age 55-59,1406,Projection,2024,37001
Martin,2024,NHWhite,Female,Population Age 40-44,305,Projection,2024,37117
Martin,2024,NHWhite,Male,Population Age 20-24,282,Projection,2024,37117
Martin,2024,NHWhite,Male,Population Age 35-39,271,Projection,2024,37117
Martin,2024,NHOther,Female,Population Age 70-74,422,Projection,2024,37117
Harnett,2024,NHWhite,Male,Population Age 40-44,2685,Projection,2024,37085
Harnett,2024,NHWhite,Male,Population Age 80-84,762,Projection,2024,37085
Harnett,2024,Hispanic,Male,Population Age 05-09,1140,Projection,2024,37085
Franklin,2024,NHWhite,Male,Population Age 70-74,1314,Projection,2024,37069
Franklin,2024,Hispanic,Female,Population Age 30-34,216,Projection,2024,37069
Montgomery,2024,NHWhite,Male,Population Age 80-84,261,Projection,2024,37123
Montgomery,2024,Hispanic,Female,Population Age 65-69,25,Projection,2024,37123
Montgomery,2024,NHOther,Female,Population Age 10-14,181,Projection,2024,37123
Alamance,2024,Hispanic,Female,Population Age 10-14,1378,Projection,2024,37001
Moore,2024,NHOther,Male,Population Age 65-69,528,Projection,2024,37125
Lee,2024,NHOther,Female,Population Age 80-84,138,Projection,2024,37105
Alexander,2024,Hispanic,Male,Population Age 25-29,68,Projection,2024,37003
Alexander,2024,NHOther,Female,Population Age 40-44,87,Projection,2024,37003
Alleghany,2024,NHWhite,Male,Population Age 15-19,236,Projection,2024,37005
Alleghany,2024,NHOther,Male,Population Age 05-09,2,Projection,2024,37005
Jones,2024,NHOther,Female,Population Age 00-04,52,Projection,2024,37103
Duplin,2024,NHOther,Male,Population Age 85+,75,Projection,2024,37061
Lincoln,2024,Hispanic,Female,Population Age 65-69,87,Projection,2024,37109
Martin,2024,NHOther,Female,Population Age 50-54,301,Projection,2024,37117
Martin,2024,Hispanic,Male,Population Age 10-14,56,Projection,2024,37117
Durham,2024,NHOther,Female,Population Age 40-44,6119,Projection,2024,37063
Durham,2024,NHOther,Female,Population Age 75-79,2267,Projection,2024,37063
Camden,2024,NHWhite,Female,Population Age 55-59,308,Projection,2024,37029
Camden,2024,NHOther,Female,Population Age 75-79,46,Projection,2024,37029
Gates,2024,NHWhite,Female,Population Age 70-74,176,Projection,2024,37073
Gates,2024,Hispanic,Female,Population Age 50-54,5,Projection,2024,37073
Gates,2024,NHOther,Female,Population Age 00-04,53,Projection,2024,37073
Mitchell,2024,Hispanic,Female,Population Age 60-64,12,Projection,2024,37121
Duplin,2024,NHWhite,Female,Population Age 25-29,660,Projection,2024,37061
Duplin,2024,NHWhite,Female,Population Age 40-44,611,Projection,2024,37061
Duplin,2024,NHWhite,Female,Population Age 60-64,1095,Projection,2024,37061
Duplin,2024,NHWhite,Male,Population Age 65-69,852,Projection,2024,37061
Dare,2024,Hispanic,Female,Population Age 20-24,132,Projection,2024,37055
Montgomery,2024,NHWhite,Female,Population Age 65-69,739,Projection,2024,37123
Montgomery,2024,NHOther,Female,Population Age 50-54,163,Projection,2024,37123
Hoke,2024,Hispanic,Female,Population Age 00-04,578,Projection,2024,37093
Hoke,2024,Hispanic,Female,Population Age 10-14,431,Projection,2024,37093
Hoke,2024,Hispanic,Male,Population Age 25-29,224,Projection,2024,37093
Davie,2024,NHOther,Male,Population Age 30-34,155,Projection,2024,37059
Buncombe,2024,NHWhite,Male,Population Age 10-14,5143,Projection,2024,37021
Buncombe,2024,NHWhite,Male,Population Age 80-84,2828,Projection,2024,37021
